Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal infection,itching,skin rash,nodal skin eruptions,mottling skin,,,,,,,,,,,,,
fungal infection,skin rash,nodal skin eruptions,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,nodal skin eruptions,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,skin rash,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,skin rash,nodal skin eruptions,,,,,,,,,,,,,,
fungal infection,skin rash,nodal skin eruptions,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,nodal skin eruptions,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,skin rash,mottling skin,,,,,,,,,,,,,,
fungal infection,itching,skin rash,nodal skin eruptions,,,,,,,,,,,,,,
fungal infection,itching,skin rash,nodal skin eruptions,mottling skin,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,,,,,,,,
allergy,shivering,chills,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,chills,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,shivering,chills,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,chills,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,watering from eyes,,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,chills,,,,,,,,,,,,,,
allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,,,,,,,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,,,,,,,,,,,,
