Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
drug reaction,stop irritation,consult nearest hospital,stop taking drug,follow up with doctor
malaria,consult nearest hospital,avoid oily food,avoid non-vegeterian food,keep mosquitos away
allergy,apply calamine lotion,cover area with bandage,loosen clothing,use ice to compress itching
hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
psoriasis,wash hands thoroughly,stop bleeding using pressure,consult doctor,warm bath with epsom salt
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
chronic cholestasis,cold baths,anti-itch medicine,consult doctor,eat healthy
hepatitis A,consult nearest hospital,wash hands thoroughly,avoid fatty spicy food,medication
osteoarthritis,acetaminophen,consult nearest hospital,follow up with doctor,warm bath with epsom salt
positional vertigo,lie down,avoid sudden body movements,avoid abrupt head movement,relax
hypoglycemia,lie down on side,check pulse,drink sugary drinks,consult doctor
acne,bathe twice,avoid fatty spicy food,drink plenty of water,avoid too many skincare products
diabetes ,have balanced diet,exercise,consult doctor,follow up with doctor
impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
hypertension ,meditation,warm bath with epsom salt,reduce stress,get proper sleep
peptic ulcer disease,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
hemorrhoids,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume aloe vera juice
common cold,drink vitamin c rich drinks,steam inhalation,avoid cold food,keep fever in check
chicken pox,use oil of tea tree or peppermint in bathwater,consume neem leaves,take vaccine,avoid public places
cervical spondylosis,use heating pad or cold pack,exercise,take OTC pain reliever,consult doctor
hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
varicose veins,lie down flat and raise the leg high,use ointments,use vein compression,don't stand still for long
AIDS,avoid open cuts,wear PPE if possible,consult doctor,follow up with doctor
brain hemorrhage,massage,eat healthy,exercise,consult doctor
typhoid fever,eat high-calorie vegetables,antibiotics,consult doctor,medication
hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
fungal infection,bathe twice,use oil of tea tree or peppermint in bathwater,keep infected area dry,use clean cloths
hepatitis C,consult nearest hospital,vaccination,eat healthy,medication
migraine,meditation,reduce stress,use polarized glasses in sun,consult doctor
bronchial asthma,loosen clothing,take deep breaths,get away from trigger,seek help
alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up with doctor
jaundice,drink plenty of water,drink vitamin c rich drinks,eat fruits and foods high in fiber,medication
hepatitis E,stop alcohol consumption,rest,consult doctor,medication
dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
hepatitis D,consult doctor,medication,eat healthy,follow up with doctor
heart attack,call ambulance,chew or swallow aspirin,keep calm,loosen clothing
pneumonia,consult doctor,medication,rest,follow up with doctor
arthritis,exercise,use hot and cold therapy,try acupuncture,massage
gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
tuberculosis,cover mouth,consult doctor,medication,rest
