Symptom,weight
coma,7
high fever,7
swelling of stomach,7
chest pain,7
weakness in limbs,7
patches in throat,6
stomach bleeding,6
malaise,6
swelled lymph nodes,6
spinning movements,6
spotting urination,6
diarrhea,6
pain in anal region,6
prominent veins on calf,6
continuous feel of urine,6
acute liver failure,6
irritation in anus,6
enlarged thyroid,6
mottling skin,6
abnormal menstruation,6
painful urination,6
fluid overload,5
extra marital contacts,5
mild fever,5
phlegm,5
blurred and distorted vision,5
swollen extremities,5
redness of eyes,5
brittle nails,5
runny nose,5
family history,5
fast heart rate,5
pain during bowel movements,5
bloody stool,5
neck pain,5
puffy face and eyes,5
congestion,5
swelling joints,5
irregular sugar level,5
restlessness,5
shivering,5
toxic look (toxemia),5
stomach pain,5
passage of gases,5
vomiting,5
foul smell of urine,5
blood in sputum,5
cold hands and feet,5
history of alcohol consumption,5
swollen blood vessels,5
indigestion,5
movement stiffness,5
increased appetite,5
receiving blood transfusion,5
nausea,5
swollen legs,5
stiff neck,4
internal itching,4
drying and tingling lips,4
unsteadiness,4
weakness of one body side,4
bladder discomfort,4
loss of balance,4
watering from eyes,4
excessive hunger,4
slurred speech,4
excessive urination,4
cramps,4
obesity,4
dark urine,4
nodal skin eruptions,4
continuous sneezing,4
blister,4
palpitations,4
ulcers on tongue,4
fatigue,4
anxiety,4
distention of abdomen,4
cough,4
breathlessness,4
dehydration,4
bruising,4
belly pain,4
loss of appetite,4
pain behind the eyes,4
rusty sputum,4
constipation,4
abdominal pain,4
yellow urine,4
yellowing of eyes,4
throat irritation,4
sinus pressure,4
dizziness,4
mucoid sputum,4
visual disturbances,3
red spots over body,3
skin peeling,3
lack of concentration,3
yellow oozing scabs,3
weight loss,3
yellowish skin,3
heartburn,3
muscle wasting,3
weight gain,3
mood swings,3
joint pain,3
sunken eyes,3
sweating,3
headache,3
back pain,3
skin rash,3
knee pain,3
chills,3
loss of smell,3
depression,3
blackheads,2
small dents in nails,2
blue-gray complexion (argyria),2
inflammatory nails,2
red sore around nose,2
scarring,2
altered mental state,2
pus-filled pimples,2
painful walking,2
muscle pain,2
lethargy,2
receiving unsterile injections,2
hip joint pain,2
muscle weakness,2
irritability,2
itching,1
